file,path,pine_version,is_strategy,is_indicator,has_request_security,has_pivothigh,has_pivotlow,has_manual_sr,has_long,has_short,has_strategy_entry,has_strategy_exit,conversion_category,convertibility_score
LIB-STR043.pine,pine_strategies/LIB-STR043.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR045.pine,pine_strategies/LIB-STR045.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR046.pine,pine_strategies/LIB-STR046.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR047.pine,pine_strategies/LIB-STR047.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR048.pine,pine_strategies/LIB-STR048.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR049.pine,pine_strategies/LIB-STR049.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR050.pine,pine_strategies/LIB-STR050.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR051.pine,pine_strategies/LIB-STR051.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR052.pine,pine_strategies/LIB-STR052.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR053.pine,pine_strategies/LIB-STR053.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR054.pine,pine_strategies/LIB-STR054.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR055.pine,pine_strategies/LIB-STR055.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR056.pine,pine_strategies/LIB-STR056.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR057.pine,pine_strategies/LIB-STR057.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR058.pine,pine_strategies/LIB-STR058.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR059.pine,pine_strategies/LIB-STR059.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR060.pine,pine_strategies/LIB-STR060.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR061.pine,pine_strategies/LIB-STR061.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR062.pine,pine_strategies/LIB-STR062.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR063.pine,pine_strategies/LIB-STR063.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR064.pine,pine_strategies/LIB-STR064.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR065.pine,pine_strategies/LIB-STR065.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR067.pine,pine_strategies/LIB-STR067.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR068.pine,pine_strategies/LIB-STR068.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR069.pine,pine_strategies/LIB-STR069.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR070.pine,pine_strategies/LIB-STR070.pine,6,True,False,False,True,True,True,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),65
LIB-STR071.pine,pine_strategies/LIB-STR071.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR072.pine,pine_strategies/LIB-STR072.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR073.pine,pine_strategies/LIB-STR073.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
LIB-STR074.pine,pine_strategies/LIB-STR074.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
Market_Fluidity_Smart.pine,pine_strategies/Market_Fluidity_Smart.pine,6,False,True,False,True,True,True,True,True,False,False,C - تحتاج إعادة بناء,40
Market_Fluidity_Smart_SRC_fixed_v2.pine,pine_strategies/Market_Fluidity_Smart_SRC_fixed_v2.pine,6,False,True,False,True,True,True,True,True,False,False,C - تحتاج إعادة بناء,40
Mean_Reversion_ZScore_Indicator_V1_1_EURUSD_M15_Pine_v6.pine,pine_strategies/Mean_Reversion_ZScore_Indicator_V1_1_EURUSD_M15_Pine_v6.pine,6,False,True,True,False,False,False,True,True,False,False,D - غير مناسبة,25
Mean_Reversion_ZScore_V1_EURUSD_M15_Pine_v6.pine,pine_strategies/Mean_Reversion_ZScore_V1_EURUSD_M15_Pine_v6.pine,6,True,False,True,False,False,False,True,True,True,True,C - تحتاج إعادة بناء,50
PMax_Explorer_Arabic.pine,pine_strategies/PMax_Explorer_Arabic.pine,4,True,False,False,False,False,True,True,True,True,False,C - تحتاج إعادة بناء,55
SMC_ICT_High_Frequency_Engine_v6.pine,pine_strategies/SMC_ICT_High_Frequency_Engine_v6.pine,6,True,False,False,True,True,False,True,True,True,True,A - قابلة مباشرة,90
SMC_ICT_Riyadh_Strategy_v6.pine,pine_strategies/SMC_ICT_Riyadh_Strategy_v6.pine,6,True,False,False,True,True,False,True,True,True,True,A - قابلة مباشرة,90
SMC_Quant_V1_GBPUSD_M15_Pine_v6.pine,pine_strategies/SMC_Quant_V1_GBPUSD_M15_Pine_v6.pine,6,True,False,True,True,True,False,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),60
TrendMaster_Modified_M30_BASE_AP_Candidate_v1.pine,pine_strategies/TrendMaster_Modified_M30_BASE_AP_Candidate_v1.pine,6,True,False,True,False,False,True,True,True,True,True,D - غير مناسبة,25
Wolf_Sniper_V18.pine,pine_strategies/Wolf_Sniper_V18.pine,6,True,False,True,True,True,True,True,True,True,False,D - غير مناسبة,35
Wolf_V18_Pure.pine,pine_strategies/Wolf_V18_Pure.pine,6,True,False,True,True,True,False,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),60
Wolf_V18_Pure_TradeFix_v6.pine,pine_strategies/Wolf_V18_Pure_TradeFix_v6.pine,6,True,False,True,True,True,False,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),60
Wolf_V4_3_Trade_Test_Patch.pine,pine_strategies/Wolf_V4_3_Trade_Test_Patch.pine,6,True,False,True,True,True,False,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),60
Wolf_V4_3_Trade_Test_Patch_Direction_Rerun.pine,pine_strategies/Wolf_V4_3_Trade_Test_Patch_Direction_Rerun.pine,6,True,False,True,True,True,False,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),60
strategy_01_crt_thick_candle_break.pine,pine_strategies/strategy_01_crt_thick_candle_break.pine,6,True,False,False,True,True,False,True,True,True,True,A - قابلة مباشرة,90
strategy_02_ict_silver_bullet_liquidity_sweep_fvg.pine,pine_strategies/strategy_02_ict_silver_bullet_liquidity_sweep_fvg.pine,6,True,False,False,True,True,False,True,True,True,True,A - قابلة مباشرة,90
strategy_03_smc_liquidity_grab_imbalance_ob.pine,pine_strategies/strategy_03_smc_liquidity_grab_imbalance_ob.pine,6,True,False,False,True,True,False,True,True,True,True,A - قابلة مباشرة,90
strategy_04_smc_order_block_bos.pine,pine_strategies/strategy_04_smc_order_block_bos.pine,6,True,False,False,True,True,False,True,True,True,True,A - قابلة مباشرة,90
strategy_05_fvg_inversion_trade.pine,pine_strategies/strategy_05_fvg_inversion_trade.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
strategy_06_breaker_block_retest.pine,pine_strategies/strategy_06_breaker_block_retest.pine,6,True,False,False,True,True,False,True,True,True,True,A - قابلة مباشرة,90
strategy_07_opening_range_breakout.pine,pine_strategies/strategy_07_opening_range_breakout.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
strategy_08_ma_pullback_trend_following.pine,pine_strategies/strategy_08_ma_pullback_trend_following.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
strategy_09_adx_ema_intraday_trend.pine,pine_strategies/strategy_09_adx_ema_intraday_trend.pine,6,True,False,True,False,False,False,True,True,True,True,C - تحتاج إعادة بناء,50
strategy_10_vwap_pullback.pine,pine_strategies/strategy_10_vwap_pullback.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
strategy_11_one_hour_forex_reversal.pine,pine_strategies/strategy_11_one_hour_forex_reversal.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
strategy_12_rsi_divergence_reversal.pine,pine_strategies/strategy_12_rsi_divergence_reversal.pine,6,True,False,False,True,True,False,True,True,True,True,A - قابلة مباشرة,90
trend_pullback_h1_v2_3.pine,pine_strategies/trend_pullback_h1_v2_3.pine,6,True,False,True,False,False,False,True,True,True,True,C - تحتاج إعادة بناء,50
vsa_conservative_template_v2.pine,pine_strategies/vsa_conservative_template_v2.pine,6,True,False,False,False,False,False,True,True,True,True,A - قابلة مباشرة,80
vsa_mtf_template_v3.pine,pine_strategies/vsa_mtf_template_v3.pine,6,True,False,True,False,False,False,True,True,True,True,C - تحتاج إعادة بناء,50
wolf_strategy-1.pine,pine_strategies/wolf_strategy-1.pine,6,True,False,True,True,True,False,True,True,True,True,B - تحتاج تعديل بسيط (pivots/manual sr),60
استراتيجية_جنون_التداول_v2_تصحيح_خطأ_resetSequence.pine,pine_strategies/استراتيجية_جنون_التداول_v2_تصحيح_خطأ_resetSequence.pine,6,True,False,True,False,False,False,True,True,True,True,C - تحتاج إعادة بناء,50
